"ID","EMPLOYEE_NAME","PHONE","EMAIL","ADDRESS","REGION","COUNTRY","EMPLOYER_NAME","EMPLOYER_PHONE","EMPLOYER_EMAIL","EMPLOYER_ADDRESS","EMPLOYER_REGION","EMPLOYER_COUNTRY","EXPERIENCE","INCOME","STATE_TAX","LOCAL_TAX","MEDICAL_TAX","DEDUCTIONS","GROSS","FREQUENCY","SSN"
"34","Dorothy Jacobs","(376) 935-7538","libero.integer@hotmail.couk","Ap #801-2628 Ac Avenue","Fife","Mexico","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","3","$34,177.22","1367.0888","1025.3166","683.5444","170.0","30931.2702","BiWeekaly","00-89-728"
"39","Marshall Livingston","1-874-848-4824","interdum.sed.auctor@yahoo.com","766-3127 Fringilla, Avenue","Borno","Colombia","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","5","$48,821.75","1952.87","1464.6525","976.435","187.0","44240.792499999996","BiWeekaly","58-75-487"
"41","Vladimir Sears","(511) 843-7612","praesent.luctus@yahoo.org","Ap #580-4099 Aliquam Ave","Styria","Sweden","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","7","$49,967.66","1998.7064","1499.0298","999.3532","161.0","45309.57060000001","Quarterly","64-32-922"
"42","Inez Baldwin","1-277-741-4548","congue.a.aliquet@google.ca","440-9855 Sed St.","Risaralda","China","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","5","$31,771.84","1270.8736","953.1552","635.4368","105.0","28807.3744","Monthly","48-43-170"
"43","Raja Lawrence","(852) 330-9245","aptent.taciti@hotmail.com","907-546 Nullam Ave","Tyumen Oblast","Australia","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","4","$90,231.26","3609.2504","2706.9377999999997","1804.6252","199.0","81911.4466","Quarterly","45-53-355"
"46","Ray Parrish","(474) 572-6767","quis@hotmail.net","1368 Sed, Av.","Limón","United States","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","6","$22,929.82","917.1928","687.8946","458.5964","149.0","20717.1362","Quarterly","51-35-502"
"47","Sylvester Williams","(743) 284-8728","elementum@yahoo.couk","P.O. Box 585, 9109 Velit Avenue","Central Region","Sweden","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","6","$69,978.88","2799.1552","2099.3664000000003","1399.5776","139.0","63541.78080000001","Quarterly","37-66-281"
"48","Katell Watson","1-561-347-4748","duis.at@icloud.org","P.O. Box 314, 3344 Morbi Rd.","Friesland","Mexico","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","8","$18,386.61","735.4644000000001","551.5983","367.73220000000003","167.0","16564.8151","Quarterly","24-67-227"
"51","Tana Mills","(205) 822-7084","egestas.lacinia@hotmail.org","Ap #534-1163 Suspendisse Road","Poltava oblast","Australia","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","2","$96,167.73","3846.7092","2885.0319","1923.3546","171.0","87341.63429999999","BiWeekaly","83-29-104"
"54","Omar Cervantes","1-281-584-2796","auctor.odio@aol.com","9836 At Road","South Island","Poland","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","6","$22,506.53","900.2611999999999","675.1958999999999","450.13059999999996","116.0","20364.9423","Quarterly","91-71-697"
"55","Hyacinth Bright","1-535-553-2275","nam@icloud.ca","914-8970 Nunc, Ave","L?ng S?n","Sweden","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","5","$16,579.30","663.172","497.37899999999996","331.586","121.0","14966.162999999999","Monthly","24-72-164"
"56","Chava Clark","1-217-267-3865","vehicula.aliquet@protonmail.edu","Ap #605-1997 Sed Street","Davao Region","Chile","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","9","$30,433.04","1217.3216","912.9911999999999","608.6608","183.0","27511.0664","Quarterly","93-37-461"
"58","Avram Hubbard","(734) 213-6536","aliquam.erat@hotmail.ca","565-5749 Auctor, Street","Loreto","Poland","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","3","$44,522.40","1780.896","1335.672","890.448","145.0","40370.384000000005","Quarterly","55-68-583"
"60","Quinn Lamb","(751) 381-6287","fusce.mollis.duis@protonmail.edu","794-4716 Augue St.","Dnipropetrovsk oblast","France","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","2","$17,451.07","698.0427999999999","523.5321","349.02139999999997","132.0","15748.473699999999","Quarterly","86-80-515"
"62","Adria Le","(683) 805-1547","donec@outlook.couk","Ap #412-9863 Mollis. Rd.","Gävleborgs län","Vietnam","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","6","$21,497.63","859.9052","644.9289","429.9526","105.0","19457.8433","BiWeekaly","22-33-124"
"64","Adrian Langley","1-676-716-2147","nisi@outlook.org","642-5576 Id, Street","Puntarenas","Ukraine","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","1","$44,568.15","1782.726","1337.0445000000002","891.363","157.0","40400.0165","Monthly","67-56-314"
"66","Nero Barr","1-851-553-1972","est.mollis@google.ca","6523 Lectus Street","Bursa","South Korea","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","6","$64,909.77","2596.3907999999997","1947.2930999999999","1298.1953999999998","192.0","58875.890699999996","BiWeekaly","45-43-152"
"71","Oprah Vega","1-537-420-5464","lobortis@icloud.couk","Ap #702-675 Sit Street","Tripura","Turkey","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","8","$76,068.01","3042.7203999999997","2282.0402999999997","1521.3601999999998","155.0","69066.8891","Quarterly","87-51-717"
"73","Dustin Leach","(318) 722-2174","lorem@protonmail.edu","6745 Sit Rd.","Gävleborgs län","United Kingdom","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","1","$12,468.47","498.73879999999997","374.05409999999995","249.36939999999998","155.0","11191.3077","Monthly","86-47-765"
"74","Pandora Webb","1-786-466-1243","urna.et@yahoo.net","6772 Vel, St.","West Java","New Zealand","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","5","$22,076.03","883.0412","662.2809","441.5206","198.0","19891.187299999998","BiWeekaly","89-75-168"
"80","Yuli Bailey","1-444-697-6511","nisi.mauris.nulla@icloud.ca","121 Hymenaeos. St.","Luik","Chile","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","10","$52,180.44","2087.2176","1565.4132","1043.6088","118.0","47366.2004","Quarterly","68-39-894"
"85","Idola Sanford","(255) 418-3177","ante.lectus@yahoo.couk","517-5689 Amet St.","Møre og Romsdal","New Zealand","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","7","$48,410.79","1936.4316000000001","1452.3237","968.2158000000001","131.0","43922.8189","BiWeekaly","63-15-287"
"91","Vivian Guthrie","(528) 515-3514","ut.sagittis@hotmail.ca","540-5877 Phasellus Av.","Limpopo","Netherlands","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","1","$72,106.08","2884.2432","2163.1823999999997","1442.1216","187.0","65429.5328","Monthly","68-35-375"
